Repository	# of Vuls Originally	# of Vuls after Fix	Initial Audit	After i package-lock	After audit fix															
childprocesspromise	7	7	ERR	Vul Found (Changed)	Vul Found															
approotpath	3	3	ERR	Vul Found (Changed)	Vul Found															
restler	1	1	ERR	Vul Found (Changed)	Vul Found															
koamount	4	4	ERR	Vul Found (Changed)	Vul Found															
nodedir	3	3	ERR	Vul Found (Changed)	Vul Found															
envify	2	2	ERR	Vul Found (Changed)	Vul Found															
methods	1	1	ERR	Vul Found (Changed)	Vul Found															
raf	7	7	ERR	Vul Found (Changed)	Vul Found															
passportoauth	5	5	ERR	Vul Found (Changed)	Vul Found															
eslintpluginbabel	3	1	ERR	Vul Found (Changed)	Vul Found															
syncrequest	5	5	ERR	Vul Found (Changed)	Vul Found															
wrench	1	1	ERR	Vul Found (Changed)	Vul Found															
mz	4	4	ERR	Vul Found (Changed)	Vul Found															
deepextend	1	1	ERR	Vul Found (Changed)	Vul Found															
nodeuuid	4	4	ERR	Vul Found (Changed)	Vul Found															
bcryptjs	2	2	ERR	Vul Found (Changed)	Vul Found															
koacompose	4	4	ERR	Vul Found (Changed)	Vul Found															
mockjs	19	19	ERR	Vul Found (Changed)	Vul Found															
proptypes	6	5	ERR	Vul Found (Changed)	Vul Found															
inflection	4	4	ERR	Vul Found (Changed)	Vul Found															
gruntcontribconcat	14	14	ERR	Vul Found (Changed)	Vul Found															
global	1	1	ERR	Vul Found (Changed)	Vul Found															
bytes	5	5	ERR	Vul Found (Changed)	Vul Found															
columnify	2	2	ERR	Vul Found (Changed)	Vul Found															
long	3	3	ERR	Vul Found (Changed)	Vul Found															
unzip	3	3	ERR	Vul Found (Changed)	Vul Found															
convertsourcemap	13	13	ERR	Vul Found (Changed)	Vul Found															
tv4	27	27	ERR	Vul Found (Changed)	Vul Found															
base64js	1	1	ERR	Vul Found (Changed)	Vul Found															
gulpconcat	4	4	ERR	Vul Found (Changed)	Vul Found															
basicauth	2	2	ERR	Vul Found (Changed)	Vul Found															
extractzip	3	3	ERR	Vul Found (Changed)	Vul Found															
optimist	3	3	ERR	Vul Found (Changed)	Vul Found															
gaze	1	1	ERR	Vul Found (Changed)	Vul Found															
parseurl	3	3	ERR	Vul Found (Changed)	Vul Found															
he	12	12	ERR	Vul Found (Changed)	Vul Found															
gruntcontribcopy	13	13	ERR	Vul Found (Changed)	Vul Found															
hoistnonreactstatics	12	5	ERR	Vul Found (Changed)	Vul Found															
fresh	2	2	ERR	Vul Found (Changed)	Vul Found															
passport	5	5	ERR	Vul Found (Changed)	Vul Found															
co	8	8	ERR	Vul Found (Changed)	Vul Found															
gulpbabel	12	3	ERR	Vul Found (Changed)	Vul Found															
gulpplumber	12	12	ERR	Vul Found (Changed)	Vul Found															
babelpluginaddmoduleexports	15	5	ERR	Vul Found (Changed)	Vul Found															
nodewatch	1	1	ERR	Vul Found (Changed)	Vul Found															
etag	2	2	ERR	Vul Found (Changed)	Vul Found															
promise	5	5	ERR	Vul Found (Changed)	Vul Found															
css	1	1	ERR	Vul Found (Changed)	Vul Found															
tweetnacl	5	1	ERR	Vul Found (Changed)	Vul Found															
promisepolyfill	6	6	ERR	Vul Found (Changed)	Vul Found															
estraverse	6	6	ERR	Vul Found (Changed)	Vul Found															
intl	12	12	ERR	Vul Found (Changed)	Vul Found															
multer	4	4	ERR	Vul Found (Changed)	Vul Found															
string	9	-	ERR	Vul Found (Changed)	Vul Found															
prompt	1	1	ERR	Vul Found (Changed)	Vul Found															
shortid	21	21	ERR	Vul Found (Changed)	Vul Found															
