Repository	Lock-Commit	Lock-Period	Lock-Time	First-Commit-Time	Lock-Committed-After
ramda	8c028906dd6917eba9da6affd2bcbe9e137b6d61	Nov||2018	2018-11-17 17:11:29	2013-06-21 13:32:35	True
esprima	3d182f16403b6efad66acfd92eb46022728bee56	Dec||2019	2019-12-31 22:43:52	2011-11-22 18:29:59	True
webpackmerge	267f89df6fa31fe75f01d9c48624bbcdc94db3cf	Feb||2018	2018-02-22 22:14:50	2015-06-26 13:20:27	True
mssql	78267d958323083cdbc92282a742ef47f168b147	Jul||2018	2018-07-04 01:22:21	2013-08-11 01:33:08	True
bunyan	86f0a56fa04907b09980584ee80f28ca68192169	Jun||2020	2020-06-27 17:11:20	2012-01-29 22:26:47	True
eslintconfigprettier	56379bc1ca4835151654943637a560a11a11a28a	Aug||2018	2018-08-13 18:42:29	2017-01-29 21:07:31	True
tar	58aec51b75e09e4e13d58a2dd37410fd6fe8dd8f	May||2017	2017-05-04 22:08:56	2011-03-27 15:16:31	True
httpproxy	09dcb984565dabb159a01a75a188b974f8c176ad	Apr||2018	2018-04-19 13:22:35	2010-07-24 14:36:31	True
highland	25cd3ee894db2dbcd78a060eded1cf75b0474751	Oct||2018	2018-10-23 21:59:17	2014-01-30 17:08:58	True
commandlineargs	f6cd19f91aa5ad2449cd642692ccf465788c0333	Aug||2017	2017-08-09 23:45:10	2014-05-26 18:43:52	True
reactredux	4b63817d1736c91205c036d78757d75cd88da9cd	Aug||2017	2017-08-08 14:14:00	2015-07-11 22:04:10	True
jsbeautify	b4fde17a61862d69fef3269df506d3dda08ecea7	Aug||2017	2017-08-10 10:41:52	2007-09-27 21:59:20	True
postcsscssnext	083a8d8f982c8e490e7754891f63c7538463273c	May||2018	2018-05-03 00:37:43	2014-08-01 08:49:41	True
coffeescript	6d21dc549520f1c48b6f35b4ed0a45e158de8d63	Aug||2017	2017-08-02 19:34:34	2009-12-13 17:07:16	True
handlebars	594f1e30dde4a862ed40a7bad3a5b2db3ed97f3c	Apr||2019	2019-04-13 16:04:43	2010-07-31 01:23:28	True
firebaseadmin	f45ab5193fce26a75a356c7f3faefa0df5a16132	Oct||2017	2017-10-27 16:45:17	2016-07-07 14:20:02	True
reactmodal	2a7083179bd2247d5d3edfe25ec746a2f77835f1	Sep||2018	2018-09-25 11:53:39	2014-09-18 08:11:47	True
bson	ee412bb471abc8322b5e16ab6910b72b31d727a7	Sep||2017	2017-09-20 11:08:28	2012-03-08 10:16:12	True
moment	74f57907440cf9c4b119e6d5ad1f96b29acee1ce	Apr||2018	2018-04-03 14:10:39	2011-02-28 18:53:16	True
winston	b9390ff6238f672992485109fb293136eebeff9a	Jan||2018	2018-01-30 14:47:14	2010-12-27 19:48:53	True
sassloader	eb5a555c0f0e55180350e6e5ebb9ed5c557c1eed	Apr||2018	2018-04-12 23:38:39	2014-02-09 13:13:30	True
archiver	683bc006235326a62e502b2f7756c709db1dc48a	Aug||2018	2018-08-10 15:07:14	2012-10-09 00:08:56	True
nodepregyp	eeafa4134c7d7fea86dd69ff0ce112563a6a6cdb	Jan||2021	2021-01-01 14:27:01	2013-11-29 16:18:15	True
cleancss	cad480f30b7a3880891db352cad63a600881e862	Jan||2021	2021-01-13 15:53:34	2011-02-07 12:36:29	True
cheerio	eaed69e55671ece6b774ee7ff52becc125be4335	Mar||2018	2018-03-11 20:32:09	2011-10-05 01:47:17	True
async	d5c391a3d764d3a7c2afdc4d7ae111e85312cfc4	Jun||2017	2017-06-25 16:42:24	2010-05-13 18:50:50	True
cssloader	333a2ce6b15179efd9f7c019082c54083520cc8c	Jan||2018	2018-01-05 07:22:22	2012-04-07 03:05:55	True
vuei18n	87b2b5852126cda88fe62b4db5a9db0649e652e8	Apr||2019	2019-04-30 11:02:41	2014-05-03 02:31:19	True
