Repository	Package-Lock	Npm-ShrinkWrap	Yarn	All-Fixed	No-Dependency
toughcookie	0	0	0	0	0
gulpshell	0	0	0	0	0
stylelintorder	1	0	0	0	0
tracer	1	0	0	0	0
extracttextwebpackplugin	1	0	0	0	0
formdata	0	0	0	0	0
eventemitter2	0	0	0	0	0
d3array	0	0	0	0	0
vueclasscomponent	0	0	0	0	0
gruntcontribjshint	1	0	0	0	0
depd	0	0	0	0	0
pathtoregexp	1	0	0	0	0
tmp	0	0	0	0	0
xmldom	1	0	0	0	0
graphqltag	1	0	0	0	0
gulpless	0	0	0	0	0
xregexp	1	0	0	0	0
gulputil	0	0	0	0	0
gracefulfs	1	0	0	0	0
graymatter	0	0	0	0	0
gulploadplugins	0	0	0	0	0
stylusloader	1	0	0	0	0
vuepropertydecorator	0	0	0	0	0
diff	0	0	0	0	0
jsbase64	0	0	0	0	0
karmachromelauncher	0	0	0	0	0
babelpresetenv	0	0	0	0	0
lrucache	1	0	0	0	0
metalsmith	1	0	0	0	0
onfinished	0	0	0	0	0
pngjs	0	0	0	0	0
mime	1	0	0	0	0
mustache	1	0	0	0	0
asyncvalidator	0	0	0	0	0
liftoff	0	0	0	0	0
inert	0	0	0	0	0
uglifyjswebpackplugin	1	0	0	0	0
decompress	0	0	0	0	0
fluentffmpeg	0	0	0	0	0
gulpsass	0	0	0	0	0
filesize	1	0	0	0	0
blessed	0	0	0	0	1
followredirects	1	0	0	0	0
iconvlite	0	0	0	0	0
broccolifunnel	1	0	0	0	0
grpc	0	0	0	0	0
slug	1	0	0	0	0
gulpjshint	0	0	0	0	0
requestpromise	0	0	0	0	0
bulma	1	0	0	0	0
xhr	1	0	0	0	0
execa	0	0	0	0	0
query-string	0	0	0	0	0
webpackhotmiddleware	1	0	0	0	0
nconf	0	0	0	0	0
urijs	0	0	0	0	0
chalk	0	0	0	0	0
fileloader	1	0	0	0	0
crossspawn	1	0	0	0	0
gulpimagemin	0	0	0	0	0
ghpages	1	0	0	0	0
bytebuffer	0	0	0	0	0
xmljs	1	0	0	0	0
cors	0	0	0	0	0
updatenotifier	0	0	0	0	0
install	1	0	0	0	0
clipboard	1	0	0	0	0
connectredis	0	0	0	0	0
is	0	0	0	0	0
jasminecore	0	0	0	0	0
parse5	1	0	0	0	0
reacticons	0	0	0	0	0
reduxlogger	1	0	0	0	0
babelpluginmoduleresolver	1	0	0	0	0
karmajasmine	1	0	0	0	0
gulpnotify	1	0	0	0	0
supertest	1	0	0	0	0
sourcemap	0	0	0	0	0
split	1	0	0	0	0
pullstream	0	0	0	0	0
commandlineusage	1	0	0	0	0
winstondailyrotatefile	1	0	0	0	0
reacthelmet	1	0	0	0	0
d3selection	0	0	0	0	0
gulpuglify	0	0	0	0	0
fastglob	0	0	0	0	0
eslintloader	1	0	0	0	0
nodeextend	0	0	0	0	0
httpserver	1	0	0	0	0
fsevents	0	0	0	0	0
reacttransitiongroup	0	0	0	0	0
vueloader	0	0	0	0	0
cookieparser	0	0	0	0	0
gm	0	0	0	0	0
fbjs	0	0	0	0	0
gruntcontribuglify	1	0	0	0	0
reactonclickoutside	1	0	0	0	0
shelljs	0	0	0	0	0
typesnode	0	0	0	0	0
typesreact	0	0	0	0	0
typeslodash	0	0	0	0	0
gulpsourcemaps	0	0	0	0	0
typesexpress	0	0	0	0	0
typesreactdom	0	0	0	0	0
hammerjs	0	0	0	0	0
typesjest	0	0	0	0	0
typesjquery	0	0	0	0	0
typesfsextra	0	0	0	0	0
level	0	0	0	0	0
typescordova	0	0	0	0	0
typesjasmine	0	0	0	0	0
typesrequest	0	0	0	0	0
typesuuid	0	0	0	0	0
dockerode	1	0	0	0	0
typesbluebird	0	0	0	0	0
phosphorwidgets	0	0	0	0	0
typesmocha	0	0	0	0	0
styleloader	1	0	0	0	0
sockjsclient	1	0	0	0	0
underscore	1	0	0	0	0
q	0	0	0	0	0
servefavicon	0	0	0	0	0
d3scale	0	0	0	0	0
rolluppluginbabel	1	0	0	0	0
watchify	0	0	0	0	0
axios	0	0	0	0	0
workboxwebpackplugin	1	0	0	0	0
babelplugintransformreactremoveproptypes	0	0	0	0	0
gulpeslint	1	0	0	0	0
terserwebpackplugin	1	0	0	0	0
httpproxymiddleware	0	0	0	0	0
formidable	0	0	0	0	0
litelement	1	0	0	0	0
ssh2	0	0	0	0	0
reactmotion	0	0	0	0	0
domhelpers	0	0	0	0	0
uuid	1	0	0	0	0
lessloader	1	0	0	0	0
nunjucks	0	0	0	0	0
stylelintconfigstandard	1	0	0	0	0
chance	0	0	0	0	0
showdown	1	0	0	0	0
jscookie	0	0	0	0	0
coveralls	1	0	0	0	0
boom	0	0	0	0	0
connectmongo	0	0	0	0	0
nan	0	0	0	0	0
