Repository	Tag	No. Of. Duplicates
childprocesspromise	v2.1.0	55
approotpath	v2.1.0	214
approotpath	3.0.0	48
approotpath	2.2.1	48
approotpath	2.2.0	48
approotpath	v2.0.0	48
pump	v3.0.0	0
pump	v2.0.1	0
pump	v2.0.0	0
pump	v1.0.3	0
pump	v1.0.2	0
oauth	0.9.15	0
oauth	0.9.14	0
oauth	0.9.13	0
oauth	0.9.12	0
oauth	0.9.11	0
isplainobject	v5.0.0	51
isplainobject	v4.1.1	51
isplainobject	v4.1.0	51
isplainobject	v4.0.0	51
isplainobject	v3.0.1	51
componentemitter	1.3.0	8
componentemitter	1.2.1	8
componentemitter	1.2.0	8
componentemitter	1.1.3	8
componentemitter	1.1.2	8
koamount	4.0.0	7
koamount	1.3.1	3
koamount	3.0.0	3
koamount	2.0.0	3
koamount	1.3.0	3
progressbarwebpackplugin	v2.1.0	0
progressbarwebpackplugin	v2.0.0	0
progressbarwebpackplugin	v1.12.1	0
progressbarwebpackplugin	v1.12.0	0
progressbarwebpackplugin	v1.11.0	0
ini	v2.0.0	100
ini	v1.3.8	100
ini	v1.3.7	100
ini	v1.3.6	100
ini	v1.3.5	100
classnames	v2.3.1	9
classnames	v2.3.0	8
classnames	v2.2.6	3
classnames	v2.2.5	0
classnames	v2.2.4	0
serializejavascript	v6.0.0	34
serializejavascript	v5.0.1	34
serializejavascript	v5.0.0	34
serializejavascript	v4.0.0	34
serializejavascript	v3.1.0	34
envify	v4.1.0	0
envify	v4.0.0	0
envify	v3.4.1	0
envify	v3.4.0	0
envify	v3.3.1	0
optimizecssassetswebpackplugin	v6.0.1	294
optimizecssassetswebpackplugin	v5.0.8	294
optimizecssassetswebpackplugin	v5.0.7	294
optimizecssassetswebpackplugin	v6.0.0	294
optimizecssassetswebpackplugin	v5.0.6	294
runsequence	v2.2.1	66
runsequence	v2.2.0	66
runsequence	v2.1.0	66
runsequence	v2.0.0	66
runsequence	v1.2.2	66
methods	v1.1.2	0
methods	v1.1.1	0
methods	v1.1.0	0
methods	v1.0.1	0
methods	v1.0.0	0
htmlentities	v2.3.2	33
htmlentities	v2.3.1	33
htmlentities	v2.3.0	33
htmlentities	v2.2.0	33
htmlentities	v2.1.1	33
raf	v3.4.1	15
raf	v3.4.0	15
raf	v3.3.0	15
